epoch,iteration,train_loss,train_RMSE_um,test_RMSE_um,test_MAE_um,test_R2
1,6,1.850306749343872,140.21848698339562,151.6194168953975,137.2711032629013,-1.2347029665585731
25,150,0.16059025656431913,45.25204885099161,40.90002305876358,31.46821185946465,0.8373862492609938
50,300,0.15124017209745944,52.359399450137474,47.76818033756713,37.13880777359009,0.7781867133646179
75,450,0.0964468049351126,27.61693400576246,39.08441937889721,33.01040828227997,0.8515030647176771
100,600,0.10681852139532566,29.52093243827383,24.77434884106881,19.52747479081154,0.9403356850769689
125,750,0.2613062730524689,32.430607902450376,30.507962107569764,22.914519160985947,0.909523340418303
150,900,0.07365113089326769,25.157771293152578,29.52624837016987,23.74778836965561,0.9152525384377318
175,1050,0.07439773995429277,19.931334655161006,24.342334517699157,17.65415072441101,0.942398391117725
200,1200,0.10759329167194664,46.91876579816532,34.79912026130485,28.374385088682175,0.8822809655796369
225,1350,0.06992688775062561,20.2795503032487,28.24575500164154,21.662891656160355,0.9224437973117466
250,1500,0.049568269576411694,16.792123482899648,24.197852778617108,20.720111578702927,0.9430801402119242
